	DMSO.1	DMSO.2	DMSO.3	SP600125.1	SP600125.2	SP600125.3
SDF4	3177	3428	3187	3269	3038	5091
B3GALT6	601	703	652	383	354	665
FAM132A	21	19	16	22	11	24
RP5-902P8.12	6	8	13	2	2	10
UBE2J2	1889	2096	1994	1335	1296	2264
RP5-902P8.10	0	1	0	0	0	4
SCNN1D	0	2	1	2	5	10
ACAP3	1470	1571	1311	1349	1319	2169
PUSL1	811	901	828	407	323	682
CPSF3L	2319	2663	2268	1352	1278	2058
RP5-890O3.9	22	29	24	16	6	21
CPTP	812	830	850	878	805	1373
TAS1R3	3	2	3	4	2	22
DVL1	3715	4285	3754	4033	3849	6453
MXRA8	4348	4718	3935	4023	3905	6226
AURKAIP1	3358	3816	3347	2846	2659	4251
CCNL2	1384	1503	1291	1067	1006	1643
RP4-758J18.2	252	289	248	331	297	562
MRPL20	1524	1597	1547	1161	1053	1606
RP4-758J18.13	35	32	32	24	20	55
ANKRD65	74	61	85	103	126	269
RP4-758J18.7	0	0	0	1	1	0
TMEM88B	5	4	4	1	1	5
RP4-758J18.10	8	8	6	4	6	18
VWA1	10622	11837	10400	7085	6846	12542
ATAD3C	114	116	126	141	131	279
ATAD3B	4877	5748	5158	2907	2938	5595
ATAD3A	2401	2569	2392	1361	1242	2030
TMEM240	6	8	3	15	20	27
SSU72	4263	4783	4781	3103	2996	5329
RP5-832C2.5	13	20	20	4	9	26
AL645728.1	0	0	0	0	0	0
C1orf233	28	33	19	54	30	41
RP11-345P4.9	33	36	32	36	38	78
MIB2	673	728	616	1095	979	1912
MMP23B	1	0	0	0	1	0
CDK11B	851	940	897	695	612	956
RP11-345P4.10	0	3	3	2	0	2
SLC35E2B	1092	1126	1035	922	888	1560
RP11-345P4.7	0	0	0	1	2	0
CDK11A	356	329	374	302	267	397
RP1-283E3.8	377	355	397	291	269	465
SLC35E2	61	65	62	58	42	136
NADK	1923	2157	2054	1857	1672	2985
GNB1	11738	12822	12255	8671	8992	14517
RP1-140A9.1	6	2	1	1	2	4
CALML6	11	5	3	3	3	9
TMEM52	121	140	127	48	50	89
CFAP74	19	19	22	9	9	42
RP11-547D24.1	0	0	0	0	0	0
GABRD	2	0	0	1	0	2
RP11-547D24.3	2	1	0	0	0	0
PRKCZ	1725	1832	1797	2523	2297	4203
RP5-892K4.1	0	0	0	0	4	0
RP11-181G12.2	27	26	24	18	22	52
C1orf86	751	922	787	599	467	821
RP11-181G12.4	0	0	0	0	0	0
SKI	1740	1816	1895	1292	1555	2509
MORN1	100	91	68	96	44	124
RP4-713A8.1	0	0	0	0	0	0
RP4-740C4.7	0	0	0	6	0	0
RER1	2280	2590	2375	2246	2191	3662
PEX10	507	545	496	536	556	852
PLCH2	0	0	0	0	0	0
RP3-395M20.2	0	0	0	0	0	0
RP3-395M20.3	0	0	0	0	0	0
PANK4	75	22	41	23	126	8
HES5	0	0	0	0	0	0
RP3-395M20.12	0	0	0	0	0	0
RP3-395M20.8	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0
RP3-395M20.7	0	0	0	0	0	0
RP3-395M20.9	0	0	0	0	0	0
FAM213B	3	0	0	3	0	0
MMEL1	0	0	0	0	0	0
RP13-436F16.1	0	0	0	0	0	0
TTC34	0	0	0	0	0	4
RP11-740P5.2	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0
ACTRT2	0	0	0	3	0	0
LINC00982	0	0	0	0	0	0
PRDM16	0	1	0	4	0	1
RP1-163G9.2	0	0	0	0	0	0
RP11-193J6.1	0	0	0	3	0	1
RP11-22L13.1	0	0	0	0	0	0
ARHGEF16	406	465	434	180	235	414
RP11-168F9.2	0	0	0	0	0	0
MEGF6	12	3	6	23	8	34
RP11-46F15.2	0	0	0	1	0	2
TPRG1L	590	640	564	691	868	1312
WRAP73	383	488	393	343	324	648
TP73	18	8	10	29	14	45
RP5-1092A11.5	0	0	0	0	0	0
RP5-1092A11.2	0	0	0	0	0	0
TP73-AS1	593	695	555	538	557	809
CCDC27	0	0	0	2	0	0
SMIM1	101	103	109	72	87	96
LRRC47	1867	2014	1884	1833	1819	2993
RP1-286D6.5	3	4	2	7	5	15
CEP104	1892	2149	2045	1653	1668	2695
DFFB	265	309	297	164	166	246
C1orf174	825	893	887	509	587	1058
LINC01134	11	8	8	7	14	35
LINC01346	0	0	0	1	0	0
RP13-614K11.2	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0
AJAP1	651	722	714	925	879	1489
RP11-542C10.1	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0
NPHP4	297	308	296	234	187	409
KCNAB2	52	58	42	42	28	38
CHD5	4	4	2	5	2	17
RPL22	6914	7256	7074	7014	5677	9877
RP1-120G22.11	8	13	9	3	4	5
RNF207	380	408	367	232	144	294
ICMT	5351	5836	5902	5539	5352	8938
LINC00337	40	42	58	58	78	86
HES3	0	0	0	0	0	0
GPR153	266	266	248	256	245	397
ACOT7	1792	1891	1818	1688	1791	2826
RP1-202O8.3	10	4	0	0	11	4
HES2	826	858	887	3271	3316	5321
ESPN	194	210	162	642	575	936
RP1-202O8.2	0	0	0	0	0	0
TNFRSF25	39	17	30	37	25	31
PLEKHG5	112	144	112	161	153	218
NOL9	2360	2596	2827	1507	1409	2327
TAS1R1	5	1	0	1	0	1
ZBTB48	248	309	222	237	255	437
KLHL21	1697	1880	1630	1170	1279	1943
PHF13	985	1098	1046	952	922	1534
THAP3	162	167	155	67	50	167
DNAJC11	3068	3381	3331	2264	1975	3556
RP11-242F24.1	0	0	0	0	0	0
RP11-312B8.1	3	4	4	6	8	7
CAMTA1	408	424	435	535	517	758
RP11-334N17.1	0	0	0	0	0	0
CAMTA1-IT1	0	0	0	0	0	0
RP3-453P22.2	0	0	0	0	0	0
RP4-549F15.1	0	0	0	0	0	0
RP11-338N10.1	0	0	0	0	0	0
RP11-338N10.2	0	0	0	3	0	1
RP11-338N10.3	0	1	0	0	0	0
VAMP3	2788	2767	2846	3017	2971	4782
RP3-467L1.6	3	3	4	2	1	11
PER3	138	151	140	172	138	232
RP3-467L1.4	0	0	0	1	0	0
UTS2	22	19	14	19	18	40
TNFRSF9	1	1	0	22	23	39
PARK7	3303	3592	3272	4960	4738	7513
ERRFI1	3063	3235	3296	4734	4814	7779
RP11-431K24.1	0	1	1	0	1	0
RP11-431K24.3	0	0	0	0	1	4
RP11-431K24.4	0	0	0	0	0	0
SLC45A1	45	49	38	59	43	92
RERE	3098	3347	3740	2016	1796	3098
RP5-1115A15.1	0	0	0	0	0	0
RP4-633I8.4	0	2	2	0	0	0
ENO1	49236	54127	49612	33054	32892	54023
ENO1-IT1	18	19	17	12	7	44
ENO1-AS1	1	0	0	4	0	1
CA6	0	0	0	0	0	0
SLC2A7	2	0	0	0	0	0
SLC2A5	4	12	6	5	3	10
GPR157	1526	1569	1484	916	865	1641
RP3-510D11.1	20	25	13	27	19	57
RP3-510D11.2	23	32	19	51	52	79
H6PD	409	409	329	513	429	674
SPSB1	296	386	273	370	331	623
RP13-392I16.1	0	0	0	0	0	0
SLC25A33	651	846	702	440	455	750
TMEM201	1227	1375	1272	630	633	966
PIK3CD	473	415	403	1376	1729	2450
PIK3CD-AS1	0	0	0	1	0	0
PIK3CD-AS2	67	71	76	36	25	40
CLSTN1	11404	12514	11436	6820	6446	11436
AL357140.1	0	0	0	0	0	0
CTNNBIP1	490	547	395	847	848	1467
RP11-84A14.5	0	0	0	0	0	0
LZIC	747	748	768	860	902	1576
RP11-84A14.4	1	4	1	0	2	4
NMNAT1	222	219	211	299	315	520
RP11-807G9.2	16	23	18	24	38	42
RBP7	54	34	31	35	9	59
UBE4B	3142	3382	3414	2731	2878	4815
KIF1B	4574	4940	5016	2960	3106	4861
PGD	7291	7811	7253	7602	7045	12143
RP4-736L20.3	0	0	0	0	0	0
APITD1-CORT	140	173	137	146	168	334
APITD1	155	190	149	172	198	396
CORT	13	15	16	14	7	27
DFFA	4077	4441	4108	2659	2616	4493
RP5-1113E3.3	0	0	0	0	0	0
PEX14	677	703	702	637	628	1030
CASZ1	190	194	193	116	133	220
RP4-734G22.3	0	0	0	4	8	3
C1orf127	1	0	0	1	0	0
TARDBP	4741	4993	4953	3961	3576	6427
MASP2	16	21	21	3	2	11
RP4-635E18.8	24	30	20	14	6	25
SRM	8926	10462	10467	2031	1829	2918
EXOSC10	2648	2913	2954	1963	1939	3227
RP4-635E18.7	0	1	0	3	0	0
RP4-635E18.6	2	4	4	4	0	2
MTOR	3871	4196	4443	3168	2934	5318
MTOR-AS1	0	0	0	0	0	0
ANGPTL7	1	0	1	2	0	6
UBIAD1	1081	1234	1236	662	618	1060
PTCHD2	0	0	0	2	0	0
RP1-69M21.2	0	0	0	5	0	0
FBXO2	437	403	423	1495	1396	2287
FBXO44	353	355	298	434	495	721
FBXO6	131	141	136	107	127	196
MAD2L2	948	946	845	718	631	1195
DRAXIN	1	2	1	13	15	5
AGTRAP	540	650	600	613	600	994
C1orf167	2	0	0	5	0	1
RP11-56N19.5	0	1	0	0	0	0
MTHFR	741	794	761	513	508	866
CLCN6	722	803	717	495	413	721
NPPA-AS1	46	37	38	36	18	54
NPPA	0	0	0	0	0	3
NPPB	1953	2108	1852	5513	4840	7751
KIAA2013	2487	2687	2508	2220	2144	3950
PLOD1	3026	3327	3231	3101	3370	5427
MFN2	4253	4618	4484	6437	6539	10344
MIIP	1018	1081	936	1132	1091	1770
TNFRSF8	9	4	4	3	1	29
TNFRSF1B	1011	806	928	2000	1830	3400
VPS13D	2343	2370	2781	2469	2695	4190
RP5-888M10.2	0	0	0	1	0	2
DHRS3	112	118	126	230	246	471
RP11-474O21.5	0	4	3	10	17	24
AADACL4	0	0	0	0	0	0
AADACL3	228	180	275	663	773	1396
C1orf158	31	34	34	83	92	189
PRAMEF12	0	1	0	6	6	7
PRAMEF1	0	0	0	5	0	2
RP5-845O24.8	0	0	0	0	0	0
PRAMEF11	0	1	0	0	0	0
HNRNPCL1	0	0	0	1	0	0
PRAMEF2	0	0	0	1	0	3
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
WI2-3308P17.2	0	0	0	0	0	0
RP13-221M14.1	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0
RP13-221M14.2	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
RP11-219C24.10	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	3	3	1	1	0	6
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	1	0	0
LRRC38	0	0	0	2	0	0
RP4-597A16.2	0	0	0	0	0	0
PDPN	3	0	1	1	0	0
CTA-520D8.2	0	0	0	0	0	0
PRDM2	2214	2234	2576	2059	1848	3354
RP11-344F13.1	0	0	0	0	0	0
RP4-704D23.1	0	0	0	0	0	0
KAZN	699	701	665	1116	1071	1738
TMEM51-AS1	2	2	1	15	20	13
TMEM51	113	97	107	262	309	424
C1orf195	0	0	0	0	0	0
FHAD1	10	22	10	12	22	18
RP3-467K16.2	0	0	0	0	0	0
RP3-467K16.7	0	0	0	0	0	0
RP3-467K16.4	0	2	0	2	1	6
EFHD2	1884	2100	1770	1259	1292	1947
CTRC	0	1	0	9	0	1
CELA2A	0	0	0	2	0	0
CELA2B	2	0	0	2	0	0
CASP9	320	320	317	262	208	411
DNAJC16	784	845	893	602	644	991
RP4-680D5.8	0	0	0	0	0	0
AGMAT	14	22	17	3	5	11
RP4-680D5.2	0	0	0	0	1	0
DDI2	2224	2318	2613	1480	1732	2963
RSC1A1	663	647	795	333	347	677
RP4-680D5.9	0	0	0	0	0	0
PLEKHM2	2289	2516	2326	3571	3712	5751
RP11-288I21.1	0	0	0	0	1	1
SLC25A34	6	12	4	3	10	18
RP11-169K16.4	0	0	0	0	0	1
TMEM82	2	2	1	3	0	4
FBLIM1	619	604	589	2943	3266	4667
UQCRHL	168	206	190	79	93	84
FLJ37453	24	34	13	37	40	83
SPEN	4009	4135	4899	3303	2781	5159
ZBTB17	584	655	562	534	529	886
C1orf64	0	0	0	0	0	0
RP11-5P18.5	0	0	0	0	0	0
HSPB7	67	64	56	30	20	37
CLCNKA	2	4	1	2	4	0
CLCNKB	12	14	5	5	3	7
FAM131C	2	6	4	6	2	4
EPHA2	5253	5438	5679	8527	8813	15289
RP11-276H7.2	15	28	17	30	49	66
RP11-276H7.3	2	14	15	22	19	28
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	87	81	76	67	76	94
RSG1	30	53	37	60	42	95
FBXO42	1181	1210	1123	873	932	1578
SZRD1	4384	4758	4649	4190	3990	6490
SPATA21	0	1	0	4	4	2
NECAP2	1231	1314	1270	1592	1712	2819
RP4-798A10.2	39	31	27	28	41	71
RP4-798A10.7	1	0	0	0	0	0
RP4-798A10.4	0	0	0	0	0	0
RP5-875O13.1	21	21	29	8	15	19
FAM231C	0	0	0	0	0	0
NBPF1	522	553	589	548	546	848
RP5-1182A14.5	0	0	0	0	0	0
CROCCP2	216	230	200	240	163	346
RP1-163M9.7	0	0	0	0	0	0
CROCC	200	194	128	158	148	264
RP11-108M9.1	0	0	0	0	0	0
RP11-108M9.2	0	0	0	0	0	0
RP11-108M9.3	15	12	9	4	4	16
RP11-108M9.4	20	7	27	21	32	23
RP11-108M9.6	3	0	2	0	0	0
MFAP2	44	43	49	73	59	124
RP1-37C10.3	0	0	0	0	0	0
ATP13A2	2014	2208	1827	1987	2157	3475
SDHB	2227	2255	2089	881	820	1348
PADI2	83	64	53	91	73	116
RP11-380J14.1	0	0	0	12	0	11
PADI1	7	6	3	12	17	20
PADI3	2	5	2	8	4	4
PADI4	15	14	27	155	186	268
AC004824.2	0	0	0	0	0	0
PADI6	0	0	0	0	3	0
RP1-20B21.4	0	0	0	2	0	2
RCC2	4008	4481	4416	3565	3330	5341
ARHGEF10L	189	173	162	242	291	403
RP11-473A10.2	0	0	0	0	0	0
ACTL8	0	0	0	1	0	1
RP11-174G17.2	0	0	0	0	0	0
IGSF21	0	0	0	1	0	0
RP11-174G17.3	0	0	0	0	0	0
RP11-174G17	0	0	0	0	0	0
RP11-422P22.1	0	0	0	0	0	3
KLHDC7A	32	28	32	86	72	121
PAX7	0	0	0	2	0	0
TAS1R2	0	0	0	3	0	0
RP13-279N23.2	1749	1964	1808	2753	2618	4190
ALDH4A1	2147	2593	2237	1356	1343	2358
IFFO2	3196	3494	3504	7527	7344	11826
RP5-1126H10.2	220	212	265	306	275	445
UBR4	8997	9264	10709	9742	10301	17112
RP1-43E13.2	2	2	3	1	4	3
EMC1	4485	4828	4402	3976	4485	7049
MRTO4	2184	2479	2450	1618	1385	2456
AKR7A3	23	30	17	28	20	25
AKR7A2	1045	1189	1029	801	857	1317
PQLC2	440	523	419	440	351	567
CAPZB	5874	6069	5750	5905	5533	9404
RP5-1056L3.1	0	0	0	0	0	0
MINOS1	1016	1023	1043	2079	1918	3109
MINOS1-NBL1	821	870	836	1977	1860	3077
NBL1	92	97	78	369	352	653
HTR6	0	0	0	1	0	0
TMCO4	305	329	288	329	385	585
RNF186	0	0	0	0	0	0
RP11-91K11.2	0	0	0	0	0	0
OTUD3	1085	1132	1020	1107	1079	1935
PLA2G2E	0	0	0	0	0	0
PLA2G2A	1	3	4	7	6	11
PLA2G5	0	1	0	0	3	3
PLA2G2D	0	0	0	1	6	0
PLA2G2F	82	66	59	302	317	516
RP3-340N1.2	11	11	11	37	34	50
PLA2G2C	0	0	0	6	0	1
UBXN10-AS1	0	1	2	13	14	35
UBXN10	88	62	61	455	512	666
RP3-340N1.6	0	0	2	0	0	1
VWA5B1	2	2	2	1	7	4
RP4-745E8.2	0	0	0	0	0	0
LINC01141	0	0	0	0	0	0
RP4-749H3.2	0	0	0	0	0	0
CAMK2N1	205	233	207	972	921	1444
MUL1	1040	1174	1157	1165	1334	1889
FAM43B	1	1	5	1	10	0
CDA	236	233	277	224	239	389
PINK1	1742	1747	1827	4415	4194	7084
PINK1-AS	1153	1197	1168	1022	883	1447
DDOST	8755	9507	9093	6633	6707	10523
KIF17	124	124	116	119	131	261
SH2D5	587	637	598	1362	1522	2313
RP5-930J4.2	0	0	0	1	0	3
HP1BP3	2795	2972	2856	2632	2605	4237
RP5-930J4.4	0	0	0	2	3	1
EIF4G3	2774	2876	3117	3040	2873	4934
ECE1	2645	2665	2538	2913	3347	4921
RP3-329E20.2	0	0	0	1	0	0
RP5-1071N3.1	0	1	0	1	1	7
RP11-293F5.1	0	0	0	0	0	0
NBPF3	463	488	455	479	512	761
ALPL	184	179	182	85	74	174
RP11-63N8.3	0	0	0	1	0	0
RAP1GAP	273	310	316	647	635	968
USP48	2034	2251	2211	1771	1719	3092
LDLRAD2	2	3	2	7	5	12
HSPG2	9092	9916	8972	10136	10397	16675
CELA3B	0	0	0	0	0	0
CELA3A	0	0	0	1	0	0
RP1-224A6.3	0	3	3	0	1	0
LINC00339	74	58	53	63	61	172
CDC42	11960	12422	12290	10995	10346	17736
CDC42-IT1	3	4	1	8	1	16
RP1-224A6.9	2	5	3	11	7	20
WNT4	20	23	21	148	142	181
RP11-415K20.2	0	0	0	1	0	0
ZBTB40	2173	2292	2218	1738	1648	2690
ZBTB40-IT1	5	1	4	1	3	5
EPHA8	6	4	4	6	3	19
C1QA	0	0	0	0	0	2
C1QC	0	0	0	3	2	0
C1QB	0	0	0	0	0	1
EPHB2	137	154	113	175	185	333
RP11-69E9.1	0	0	0	0	0	0
RP1-74M1.3	1	2	1	4	0	5
LACTBL1	0	0	0	1	0	0
C1orf234	0	0	0	0	0	0
KDM1A	7455	7923	7264	5582	5069	9553
RP1-184J9.2	59	60	56	29	24	38
LUZP1	1981	2098	1948	1700	1794	2772
HTR1D	76	88	93	260	248	372
LINC01355	26	20	16	23	10	46
HNRNPR	7965	8557	8582	5486	4920	8389
ZNF436	611	608	605	310	254	588
ZNF436-AS1	40	41	30	32	13	59
RP5-1057J7.7	0	2	0	8	0	0
TCEA3	85	89	117	157	140	201
ASAP3	2354	2405	2104	2047	2121	3173
E2F2	687	814	768	528	475	874
RP1-150O5.3	0	0	0	1	0	0
ID3	2017	2005	1751	2731	2612	3966
MDS2	2	1	1	0	4	3
RPL11	12879	14129	13954	10549	7667	12784
TCEB3	2754	3016	3087	2083	2147	3571
TCEB3-AS1	22	39	29	41	59	88
PITHD1	1327	1521	1435	1386	1289	2132
LYPLA2	2815	3170	2956	2796	2336	4417
GALE	863	892	884	1223	1183	1748
HMGCL	178	190	166	377	391	671
FUCA1	671	707	685	557	504	934
CNR2	0	0	0	3	5	0
RP11-4M23.3	0	0	0	0	0	0
PNRC2	3576	3698	3600	2454	2267	3745
SRSF10	2566	2811	2803	2093	1682	3230
RP11-293P20.2	0	0	0	0	0	0
MYOM3	0	0	0	4	0	0
RP11-293P20.4	0	0	0	0	0	0
IL22RA1	1	1	4	3	5	13
IFNLR1	57	40	46	54	57	95
RP11-10N16.2	0	0	0	0	1	0
RP11-10N16.3	0	1	0	0	0	0
GRHL3	1465	1553	1767	1606	1583	2765
STPG1	74	61	65	131	106	172
NIPAL3	416	458	455	1060	1025	1665
RCAN3	1080	1023	1164	1239	1340	2036
RP4-594I10.3	0	0	0	1	0	0
NCMAP	50	69	65	32	29	51
SRRM1	4949	5315	5306	3288	2809	4942
CLIC4	11384	11677	11587	11444	11883	19691
RUNX3	65	73	65	90	142	191
RP11-84D1.1	0	0	0	1	0	3
RP11-84D1.2	0	0	0	0	1	0
RP4-799D16.1	0	0	0	0	1	0
RP4-706G24.1	0	0	0	0	0	0
SYF2	585	604	598	534	443	852
RSRP1	266	285	191	320	275	502
RP3-465N24.6	0	6	2	1	3	4
RHD	0	0	0	0	0	3
TMEM50A	1223	1418	1412	2144	2365	3681
RHCE	0	3	0	3	2	8
TMEM57	700	715	626	749	766	1157
LDLRAP1	933	985	959	972	969	1524
RP11-70P17.1	1	2	4	1	8	4
MAN1C1	151	133	102	227	249	323
RP1-187B23.1	0	0	0	0	0	0
SEPN1	4323	4671	4188	3661	3607	5868
RP1-317E23.6	577	627	527	612	528	995
RP1-317E23.3	17	12	6	25	20	15
MTFR1L	1244	1305	1237	773	760	1482
RP1-317E23.7	2	3	8	7	5	6
AUNIP	505	479	587	481	399	667
RP1-125I3.2	0	3	1	2	1	1
PAQR7	519	600	620	976	1176	1577
STMN1	2614	2750	2534	1789	1473	2637
PAFAH2	561	622	528	970	1209	1690
EXTL1	40	37	24	10	0	13
SLC30A2	447	452	443	472	471	772
TRIM63	0	1	1	0	0	2
PDIK1L	212	237	231	178	130	339
FAM110D	0	0	0	0	0	0
ZNF593	990	1102	1038	596	510	802
RP11-96L14.7	52	52	26	5	10	27
CNKSR1	635	741	584	792	758	1119
CATSPER4	3	1	0	0	0	0
CEP85	1935	1969	1813	2804	2721	4539
SH3BGRL3	2299	2404	2421	4492	4035	6261
UBXN11	598	659	474	1068	999	1432
CD52	58	46	61	101	76	111
AIM1L	4632	4938	4700	6900	6707	11703
ZNF683	0	0	0	3	1	0
LIN28A	13894	16150	14300	10415	10550	16131
DHDDS	1336	1427	1381	1081	1036	1815
RP3-476K8.3	1	0	0	0	0	0
HMGN2	2335	2588	2322	2800	2517	3964
RPS6KA1	1836	2078	2001	1581	1757	2750
RP5-968P14.2	5	6	15	8	19	15
ARID1A	5556	6179	6900	4432	4165	6809
PIGV	228	282	237	283	331	571
ZDHHC18	2803	3199	3018	2060	2195	3303
SFN	2745	3136	2938	5979	5642	9020
RP1-50O24.6	0	0	0	0	0	0
GPN2	897	987	971	600	540	896
GPATCH3	513	514	471	594	539	885
NUDC	2775	2911	3204	2236	1817	3159
NR0B2	0	0	0	0	0	0
KDF1	302	340	304	375	394	609
TRNP1	62	55	58	156	178	248
FAM46B	1371	1556	1210	877	908	1445
SLC9A1	8424	9346	9628	5247	5067	8477
RP11-40H20.4	0	0	0	0	0	0
WDTC1	1564	1612	1558	2051	2100	3508
TMEM222	867	918	822	814	826	1325
SYTL1	321	364	305	1172	1031	1646
MAP3K6	529	579	529	407	442	631
FCN3	0	0	0	1	0	1
CD164L2	15	15	8	13	12	26
GPR3	55	70	95	87	78	136
WASF2	5748	6154	6070	5305	5429	8780
RP4-752I6.1	0	0	0	0	0	0
RP1-159A19.4	0	1	0	0	0	0
AHDC1	2688	2919	2769	2635	2512	4081
FGR	0	1	2	0	0	0
RP11-288L9.1	3	3	1	14	5	1
IFI6	5486	5705	5168	9702	8600	15123
RP11-288L9.4	0	0	0	0	0	0
FAM76A	689	761	736	681	691	1206
STX12	1259	1177	1170	1329	1327	2366
RP3-426I6.5	0	1	1	2	0	6
RP3-426I6.6	0	0	0	2	0	1
PPP1R8	1375	1580	1608	1165	1314	2067
AL109927.1	0	0	0	0	0	1
THEMIS2	118	123	113	53	77	110
RPA2	992	1150	1158	753	670	1238
SMPDL3B	128	112	142	245	212	406
RP11-460I13.2	0	0	0	0	0	0
XKR8	720	829	787	744	784	1219
EYA3	1604	1695	1834	886	988	1616
PTAFR	92	80	89	102	109	92
DNAJC8	2745	2971	2971	2132	1952	3479
ATPIF1	1052	1150	1123	1494	1266	2067
RP5-1092A3.4	9	10	19	16	2	13
RP5-1092A3.5	0	0	0	0	0	0
SESN2	2010	2227	2064	3253	3089	5254
MED18	354	339	362	320	326	501
PHACTR4	1470	1574	1575	1256	1053	1946
RCC1	3549	3991	4050	2209	2197	3853
SNHG3	9111	10328	10202	3897	3063	5407
RP4-669K10.8	43	47	46	62	71	114
TRNAU1AP	507	555	487	538	488	902
SNHG12	908	1073	812	617	497	892
TAF12	244	279	263	354	416	560
RAB42	25	17	11	31	18	62
RP11-442N24__B.1	6	0	1	0	0	0
RNU11	20	30	24	10	7	12
GMEB1	728	727	765	403	412	753
YTHDF2	5728	5785	5669	2797	2900	5252
OPRD1	11	17	16	54	92	105
RP1-212P9.2	12	9	13	85	66	138
RP1-212P9.3	0	0	0	0	3	0
EPB41	1350	1446	1344	1118	1208	1899
TMEM200B	234	201	195	368	430	617
RP11-242O24.3	1	2	1	2	2	5
SRSF4	2397	2620	2571	2081	1789	3307
RP11-242O24.5	0	0	0	0	0	0
MECR	720	762	688	439	454	779
RP11-467D18.2	0	0	0	0	0	0
PTPRU	3633	3994	3592	4423	4373	7130
RP3-437I16.1	0	0	0	0	0	0
RP4-656G21.1	0	0	0	0	0	0
RP11-111I12.1	0	0	0	0	0	0
RP5-893G23.1	0	0	0	1	0	0
RP4-591L5.1	0	0	0	0	0	0
RP4-591L5.2	0	0	0	0	0	0
MATN1	2	3	4	9	14	9
MATN1-AS1	63	44	40	80	79	112
LAPTM5	149	166	154	699	797	1071
RP5-1125N11.1	0	0	0	6	0	0
RP1-65J11.1	0	0	0	7	3	10
RP1-65J11.5	0	0	0	0	0	0
SDC3	2516	2627	2447	5117	5230	8091
PUM1	5018	5207	5398	4126	3916	6542
NKAIN1	0	1	0	3	1	0
SNRNP40	1426	1676	1594	608	628	859
ZCCHC17	685	665	687	703	650	1014
RP11-266K22.2	0	0	0	0	0	0
